model_id,model_name,provider,family,release_date,param_count_B,architecture,context_window_k,open_source,license,modality,mmlu_score,mmlu_pro_score,gpqa_diamond_score,humaneval_pass1,mbpp_pass1,math_score,gsm8k_score,arc_challenge_score,hellaswag_score,winogrande_score,truthfulqa_score,bbh_score,ifeval_score,mt_bench_score,chatbot_arena_elo,swe_bench_verified_pct,aime_2024_score,livebench_score,input_price_per_1M_tokens_usd,output_price_per_1M_tokens_usd,ttft_ms,output_tokens_per_sec,latency_500tok_response_sec,api_available,rate_limit_rpm,toxicity_score_pct,bias_score_pct,refusal_rate_pct,hallucination_rate_pct,instruction_following_pct,jailbreak_resistance_pct,factuality_score_pct,rlhf_aligned,safety_training
M011,Claude Sonnet 4,Anthropic,Claude 4,2025-05-22,,Transformer,200,False,Proprietary,Text + Vision,91.2,68.0,67.5,84.7,90.3,80.0,86.6,91.8,93.0,93.1,64.0,84.8,88.6,8.8,1257,44.4,76.8,70.1,13.37,46.82,1194,62.4,9.21,True,10000,5.57,12.16,15.8,8.0,95.1,40.4,80.8,True,RLHF + Constitutional AI
M012,Claude Opus 4,Anthropic,Claude 4,2025-05-22,,Transformer,200,False,Proprietary,Text + Vision,83.6,76.9,72.7,84.8,87.8,77.9,89.8,90.5,92.9,86.4,67.2,74.7,86.7,9.4,1316,37.7,68.4,62.0,20.14,97.24,1060,40.1,13.53,True,1000,2.75,6.69,6.3,9.2,88.8,62.8,87.4,True,DPO
M013,Gemini 1.5 Pro,Google,Gemini 1.5,2024-02-15,,Transformer (MoE),2000,False,Proprietary,Text + Vision + Audio,74.8,65.7,55.8,86.4,73.0,66.4,84.0,85.3,87.4,84.2,67.2,75.4,80.2,8.5,1243,33.8,68.0,63.0,8.83,42.48,835,84.2,6.77,True,100,1.58,8.32,8.0,8.8,89.0,50.0,78.4,False,DPO
M014,Gemini 1.5 Flash,Google,Gemini 1.5,2024-05-14,,Transformer (MoE),1000,False,Proprietary,Text + Vision + Audio,73.2,61.5,57.9,73.2,67.0,65.0,78.5,81.7,82.8,80.4,53.5,68.2,74.5,7.6,1141,39.3,43.4,59.0,0.95,3.35,336,111.1,4.84,True,10000,1.81,14.16,7.0,4.3,75.8,56.6,83.2,True,PPO + DPO
M015,Gemini 2.0 Flash,Google,Gemini 2.0,2025-02-05,,Transformer (MoE),1000,False,Proprietary,Text + Vision + Audio,80.8,71.1,58.3,85.5,79.7,72.0,87.0,85.9,90.2,86.5,65.0,74.2,78.6,8.6,1175,46.8,50.5,57.9,5.89,23.81,311,53.6,9.64,True,500,3.48,9.65,28.3,24.0,81.0,58.5,77.3,True,RLHF + Red-teaming
M016,Gemini 2.5 Pro,Google,Gemini 2.5,2025-03-25,,Transformer (MoE),1000,False,Proprietary,Text + Vision + Audio,84.0,76.7,59.2,80.6,91.6,85.0,96.1,90.2,94.9,90.2,70.5,76.4,84.0,8.9,1225,42.9,65.9,62.3,14.69,60.49,441,66.1,8.01,True,60,7.73,2.26,10.4,9.3,88.6,56.0,85.2,False,DPO
M017,Gemma 2 27B,Google,Gemma,2024-06-27,27.0,Transformer,8,True,Gemma License,Text,67.1,51.0,47.4,65.1,63.1,44.1,72.3,71.5,72.7,77.2,53.5,59.4,55.4,7.5,1095,22.8,34.0,43.5,0.2,0.6,303,156.1,3.51,True,60,1.14,12.94,11.4,20.2,66.2,79.7,66.8,True,RLHF
M018,Llama 3.1 405B,Meta,Llama 3.1,2024-07-23,405.0,Transformer,128,True,Llama 3.1 License,Text,79.5,70.9,61.7,73.2,74.4,71.5,78.7,85.3,87.6,87.7,64.2,74.9,74.6,8.3,1244,38.3,60.6,64.3,1.11,4.77,459,61.2,8.63,True,1000,1.74,14.65,17.8,3.8,79.1,75.4,77.4,True,PPO + DPO
M019,Llama 3.1 70B,Meta,Llama 3.1,2024-07-23,70.0,Transformer,128,True,Llama 3.1 License,Text,77.3,64.7,51.7,63.8,69.4,58.8,77.7,78.9,81.8,78.8,60.8,72.7,77.5,8.2,1168,30.2,42.9,61.0,0.52,2.51,427,110.7,4.94,True,3500,1.02,8.47,19.3,15.8,81.7,65.6,71.8,True,RLHF + Red-teaming
M020,Llama 3.1 8B,Meta,Llama 3.1,2024-07-23,8.0,Transformer,128,True,Llama 3.1 License,Text,65.8,55.8,46.5,62.6,64.3,52.2,67.1,72.2,80.4,77.6,57.4,57.9,57.1,7.2,1032,16.9,31.2,40.2,0.19,0.76,213,74.4,6.93,True,60,3.78,12.06,10.6,5.6,70.4,42.5,65.2,False,DPO
M021,Llama 3.3 70B,Meta,Llama 3.3,2024-12-06,70.0,Transformer,128,True,Llama 3.3 License,Text,68.1,57.8,51.7,71.9,71.8,61.2,81.0,79.5,82.6,80.4,55.6,66.7,68.6,8.6,1165,37.5,45.3,53.6,0.53,2.6,587,120.1,4.75,True,10000,6.55,6.7,28.6,9.7,78.2,46.8,77.9,True,DPO
M022,Llama 4 Scout,Meta,Llama 4,2025-04-05,109.0,Transformer (MoE),512,True,Llama 4 License,Text + Vision,83.5,65.5,66.0,72.3,79.2,74.6,87.6,87.2,84.5,86.0,74.2,77.9,75.1,8.3,1232,40.5,56.3,56.8,2.59,12.23,271,72.3,7.19,True,10000,4.05,13.93,11.2,7.0,89.0,40.2,74.8,False,RLHF
M023,Llama 4 Maverick,Meta,Llama 4,2025-04-05,402.0,Transformer (MoE),1024,True,Llama 4 License,Text + Vision,85.9,76.8,67.6,88.9,84.3,90.0,92.9,93.5,89.0,89.2,71.7,79.3,75.6,8.9,1320,49.8,72.4,70.9,2.48,6.8,1533,52.1,11.13,True,500,1.58,5.54,34.4,5.2,93.2,65.7,81.5,True,DPO
M024,Mistral Large 2,Mistral AI,Mistral,2024-07-24,123.0,Transformer,128,True,Apache 2.0,Text,78.3,71.0,61.5,81.0,74.5,70.7,85.8,83.8,85.2,83.4,68.1,75.3,81.1,8.7,1269,42.6,64.6,61.1,1.77,7.31,813,58.0,9.43,True,500,5.77,13.99,20.1,19.1,84.6,68.6,82.0,True,PPO + DPO
M025,Mistral Small 3,Mistral AI,Mistral,2025-01-30,24.0,Transformer,32,True,Apache 2.0,Text + Vision,72.7,58.8,56.6,70.1,67.1,61.3,74.7,79.8,84.3,83.9,52.3,62.5,60.5,7.9,1149,24.8,41.3,44.8,0.57,1.99,282,83.2,6.29,True,60,5.96,8.3,19.2,9.2,76.8,47.3,78.6,False,RLHF
M026,Mixtral 8x22B,Mistral AI,Mixtral,2024-04-10,141.0,Transformer (MoE),64,True,Apache 2.0,Text,70.3,63.6,54.5,76.2,72.2,58.8,82.5,81.1,78.6,81.7,55.3,66.2,71.4,8.4,1156,32.5,53.6,50.7,0.52,1.95,321,118.0,4.56,True,1000,2.17,3.45,13.0,12.1,75.8,55.6,75.6,True,RLHF + Constitutional AI
M027,Codestral,Mistral AI,Mistral,2024-05-29,22.0,Transformer,32,False,MNPL,Code,66.6,51.2,51.1,68.5,65.8,44.3,70.5,71.7,78.7,78.9,52.3,57.2,64.3,7.2,1019,19.7,34.3,51.6,0.71,3.4,351,110.1,4.89,True,3500,1.45,6.24,27.8,8.6,63.7,87.2,71.2,False,DPO
M028,DeepSeek-V3,DeepSeek,DeepSeek,2024-12-26,671.0,Transformer (MoE),128,True,DeepSeek License,Text,82.1,67.9,59.8,77.1,77.3,69.6,88.7,81.9,89.6,85.8,60.0,72.7,76.9,8.9,1202,48.5,52.8,65.4,2.41,7.62,726,91.4,6.2,True,10000,2.82,2.91,33.7,16.5,84.9,56.2,72.4,False,PPO + DPO
M029,DeepSeek-R1,DeepSeek,DeepSeek,2025-01-20,671.0,Transformer (MoE + CoT),128,True,MIT,Text,84.1,81.0,70.8,90.0,93.0,90.2,92.4,90.1,89.6,88.0,77.3,82.5,81.0,9.1,1260,55.9,85.2,70.4,6.47,24.7,1563,31.2,17.59,True,60,6.57,7.44,26.6,14.5,88.4,80.2,82.2,True,RLHF + Constitutional AI
M030,DeepSeek-R1 Distill 70B,DeepSeek,DeepSeek,2025-01-20,70.0,Transformer (CoT),128,True,MIT,Text,64.5,61.7,59.7,80.2,76.2,70.7,82.6,75.4,80.5,81.7,51.9,61.5,67.2,7.5,1146,33.0,63.5,49.0,0.32,1.5,411,61.5,8.54,True,10000,4.2,8.56,33.4,13.1,79.0,48.1,73.5,True,PPO + DPO
M031,DeepSeek-R1 Distill 8B,DeepSeek,DeepSeek,2025-01-20,8.0,Transformer (CoT),128,True,MIT,Text,62.0,51.0,44.0,66.0,64.6,58.6,73.5,71.1,76.6,76.7,39.5,57.2,60.4,7.7,1107,45.4,43.9,46.1,0.19,0.72,185,84.7,6.09,True,100,6.66,4.7,5.9,15.7,66.9,83.2,68.3,True,RLHF + Constitutional AI
M032,Command R+,Cohere,Command R,2024-04-04,104.0,Transformer,128,True,CC-BY-NC-4.0,Text,74.5,54.7,46.0,61.4,70.3,57.9,81.7,78.5,84.8,83.6,69.7,60.0,73.9,7.9,1158,37.1,41.1,47.6,0.46,2.0,268,126.1,4.23,True,60,0.95,4.69,11.9,9.6,75.2,56.2,73.0,True,RLHF + Red-teaming
M033,Command R,Cohere,Command R,2024-03-11,35.0,Transformer,128,True,CC-BY-NC-4.0,Text,69.3,53.3,50.5,66.1,70.0,50.9,67.9,73.2,78.4,76.7,47.4,52.0,62.8,7.5,1060,29.6,34.3,45.4,0.16,0.53,203,98.0,5.31,True,500,3.68,4.46,5.5,14.2,68.4,51.8,65.4,True,DPO
M034,Qwen2.5 72B,Alibaba,Qwen 2.5,2024-09-19,72.0,Transformer,128,True,Apache 2.0,Text,87.7,71.0,61.7,78.7,76.1,71.1,81.7,85.4,83.9,88.7,75.2,72.7,73.2,8.2,1234,44.1,65.5,51.2,2.16,5.97,808,65.8,8.41,True,1000,1.82,14.99,18.0,20.3,87.7,88.5,80.7,True,PPO + DPO
M035,Qwen2.5 7B,Alibaba,Qwen 2.5,2024-09-19,7.0,Transformer,128,True,Apache 2.0,Text,69.0,51.2,50.3,67.9,60.7,51.6,69.0,72.1,79.1,77.2,55.7,60.2,67.5,8.1,1087,31.3,47.9,45.5,0.18,0.56,312,163.8,3.36,True,10000,6.68,5.27,20.5,3.5,68.4,75.0,67.5,True,RLHF
M036,QwQ 32B,Alibaba,QwQ,2025-03-05,32.0,Transformer (CoT),128,True,Apache 2.0,Text,75.8,72.4,62.1,89.8,72.4,86.7,91.6,85.4,89.4,89.1,70.4,77.4,74.0,8.2,1177,54.9,70.3,57.7,2.03,8.61,256,49.5,10.36,True,60,4.61,10.54,7.4,19.6,83.6,51.5,82.8,True,RLHF + Constitutional AI
M037,Grok-2,xAI,Grok,2024-08-13,314.0,Transformer (MoE),128,False,Proprietary,Text + Vision,79.1,69.9,56.5,78.5,82.0,68.0,91.5,87.2,86.6,87.8,66.1,75.0,76.4,8.5,1225,37.6,54.8,64.2,3.03,11.07,294,53.5,9.64,True,60,7.08,2.34,22.0,3.6,84.7,76.0,83.1,False,RLHF
M038,Grok-3,xAI,Grok,2025-02-18,,Transformer (MoE),128,False,Proprietary,Text + Vision,84.6,80.9,70.8,84.8,83.9,77.0,92.1,90.6,92.1,92.5,69.6,80.9,81.6,9.0,1277,47.8,75.1,71.4,15.4,42.3,1049,34.5,15.54,True,1000,6.31,13.32,13.8,14.7,85.4,41.0,78.9,True,DPO
M039,Phi-4,Microsoft,Phi,2024-12-12,14.0,Transformer,16,True,MIT,Text,76.0,56.8,56.3,69.7,70.1,55.6,83.6,76.8,81.5,83.4,59.5,64.7,73.6,8.5,1139,34.9,32.8,51.4,0.42,1.57,364,126.9,4.3,True,3500,3.71,4.11,17.7,20.7,81.6,61.3,74.4,True,RLHF + Constitutional AI
M040,DBRX,Databricks,DBRX,2024-03-27,132.0,Transformer (MoE),32,True,Databricks Open,Text,73.7,60.5,49.2,66.3,69.9,60.0,78.8,80.1,81.7,80.3,63.4,69.5,70.5,8.2,1164,48.1,54.1,52.0,0.64,2.83,544,98.5,5.62,True,1000,6.56,7.59,11.6,20.8,70.3,62.0,76.4,True,RLHF + Constitutional AI
M041,Yi-1.5 34B,01.AI,Yi,2024-05-13,34.0,Transformer,32,True,Apache 2.0,Text,68.4,57.7,53.5,68.6,69.3,61.6,76.9,81.3,80.7,86.0,72.7,65.5,67.7,8.3,1172,36.8,53.5,46.9,0.43,1.33,527,102.1,5.42,True,100,4.21,12.08,7.5,14.4,74.7,50.0,76.9,True,DPO
M042,Jamba 1.5 Large,AI21 Labs,Jamba,2024-08-22,398.0,Mamba-Transformer Hybrid,256,True,Jamba License,Text,70.3,61.9,55.3,71.1,69.9,54.8,76.9,82.4,81.0,84.4,56.9,69.8,76.4,7.8,1165,24.6,37.6,51.8,0.32,0.9,170,111.5,4.65,True,1000,4.51,13.72,17.2,5.8,82.4,78.2,74.0,True,RLHF
