model_id,model_name,provider,model_family,release_date,parameters_billion,active_parameters_billion,architecture,context_window_k,license,open_weight,modality,training_data_cutoff
claude-sonnet-4,Claude Sonnet 4,Anthropic,Claude 4,2025-05-22,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2025-03
claude-opus-4,Claude Opus 4,Anthropic,Claude 4,2025-06-25,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2025-03
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,Claude 4.5,2025-10-01,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2025-06
claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,Claude 4.6,2026-01-15,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2025-10
claude-opus-4-6,Claude Opus 4.6,Anthropic,Claude 4.6,2026-03-10,,,Dense Transformer,200,Proprietary,0,Text+Vision+Code,2025-10
gemini-1-5-pro,Gemini 1.5 Pro,Google,Gemini 1.5,2024-02-15,,,MoE Transformer,2048,Proprietary,0,Text+Vision+Audio+Video,2024-04
gemini-1-5-flash,Gemini 1.5 Flash,Google,Gemini 1.5,2024-05-24,,,MoE Transformer,1048,Proprietary,0,Text+Vision+Audio,2024-04
gemini-2-0-flash,Gemini 2.0 Flash,Google,Gemini 2.0,2025-02-05,,,MoE Transformer,1048,Proprietary,0,Text+Vision+Audio+Code,2024-10
gemini-2-5-pro,Gemini 2.5 Pro,Google,Gemini 2.5,2025-03-25,,,MoE Transformer,1048,Proprietary,0,Text+Vision+Audio+Code,2025-01
gemini-2-5-flash,Gemini 2.5 Flash,Google,Gemini 2.5,2025-05-20,,,MoE Transformer,1048,Proprietary,0,Text+Vision+Audio+Code,2025-01
gemini-3-0-pro,Gemini 3.0 Pro,Google,Gemini 3,2025-09-10,,,MoE Transformer,2048,Proprietary,0,Text+Vision+Audio+Video+Code,2025-06
gemini-3-1-pro,Gemini 3.1 Pro,Google,Gemini 3,2026-01-20,,,MoE Transformer,2048,Proprietary,0,Text+Vision+Audio+Video+Code,2025-10
llama-3-8b,Llama 3 8B,Meta,Llama 3,2024-04-18,8.0,8.0,Dense Transformer,8,Llama 3 License,1,Text,2024-03
llama-3-70b,Llama 3 70B,Meta,Llama 3,2024-04-18,70.0,70.0,Dense Transformer,8,Llama 3 License,1,Text,2024-03
llama-3-1-8b,Llama 3.1 8B,Meta,Llama 3.1,2024-07-23,8.0,8.0,Dense Transformer,128,Llama 3.1 License,1,Text,2024-06
llama-3-1-70b,Llama 3.1 70B,Meta,Llama 3.1,2024-07-23,70.0,70.0,Dense Transformer,128,Llama 3.1 License,1,Text,2024-06
llama-3-1-405b,Llama 3.1 405B,Meta,Llama 3.1,2024-07-23,405.0,405.0,Dense Transformer,128,Llama 3.1 License,1,Text,2024-06
llama-3-2-1b,Llama 3.2 1B,Meta,Llama 3.2,2024-09-25,1.0,1.0,Dense Transformer,128,Llama 3.2 License,1,Text,2024-08
llama-3-2-3b,Llama 3.2 3B,Meta,Llama 3.2,2024-09-25,3.0,3.0,Dense Transformer,128,Llama 3.2 License,1,Text,2024-08
llama-3-2-11b-vision,Llama 3.2 11B Vision,Meta,Llama 3.2,2024-09-25,11.0,11.0,Dense Transformer,128,Llama 3.2 License,1,Text+Vision,2024-08
llama-3-2-90b-vision,Llama 3.2 90B Vision,Meta,Llama 3.2,2024-09-25,90.0,90.0,Dense Transformer,128,Llama 3.2 License,1,Text+Vision,2024-08
llama-3-3-70b,Llama 3.3 70B,Meta,Llama 3.3,2024-12-06,70.0,70.0,Dense Transformer,128,Llama 3.3 License,1,Text,2024-10
llama-4-scout,Llama 4 Scout,Meta,Llama 4,2025-04-05,109.0,17.0,MoE Transformer,512,Llama 4 License,1,Text+Vision,2025-02
llama-4-maverick,Llama 4 Maverick,Meta,Llama 4,2025-04-05,402.0,17.0,MoE Transformer,1048,Llama 4 License,1,Text+Vision,2025-02
llama-4-behemoth,Llama 4 Behemoth,Meta,Llama 4,2025-07-15,2000.0,288.0,MoE Transformer,1048,Llama 4 License,1,Text+Vision+Code,2025-05
deepseek-v2-5,DeepSeek V2.5,DeepSeek,DeepSeek V2,2024-09-05,236.0,21.0,MoE Transformer,128,MIT,1,Text+Code,2024-07
deepseek-v3,DeepSeek V3,DeepSeek,DeepSeek V3,2024-12-26,671.0,37.0,MoE Transformer,128,MIT,1,Text+Code,2024-10
deepseek-r1,DeepSeek R1,DeepSeek,DeepSeek R1,2025-01-20,671.0,37.0,MoE Transformer,128,MIT,1,Text+Code,2024-10
deepseek-r1-distill-7b,DeepSeek R1 Distill 7B,DeepSeek,DeepSeek R1,2025-01-20,7.0,7.0,Dense Transformer,128,MIT,1,Text,2024-10
deepseek-r1-distill-70b,DeepSeek R1 Distill 70B,DeepSeek,DeepSeek R1,2025-01-20,70.0,70.0,Dense Transformer,128,MIT,1,Text,2024-10
deepseek-v3-1,DeepSeek V3.1,DeepSeek,DeepSeek V3,2025-06-01,685.0,42.0,MoE Transformer,256,MIT,1,Text+Vision+Code,2025-04
deepseek-v3-2,DeepSeek V3.2,DeepSeek,DeepSeek V3,2025-10-15,700.0,45.0,MoE Transformer,256,MIT,1,Text+Vision+Code,2025-08
mistral-7b-v0-3,Mistral 7B v0.3,Mistral AI,Mistral,2024-05-22,7.3,7.3,Dense Transformer,32,Apache 2.0,1,Text,2024-03
mixtral-8x22b,Mixtral 8x22B,Mistral AI,Mixtral,2024-04-17,176.0,39.0,MoE Transformer,64,Apache 2.0,1,Text+Code,2024-03
mistral-large-2,Mistral Large 2,Mistral AI,Mistral Large,2024-07-24,123.0,123.0,Dense Transformer,128,Mistral Research License,0,Text+Code,2024-06
mistral-small-3,Mistral Small 3,Mistral AI,Mistral Small,2025-01-30,24.0,24.0,Dense Transformer,128,Apache 2.0,1,Text+Vision,2024-11
mistral-medium-3,Mistral Medium 3,Mistral AI,Mistral Medium,2025-05-17,73.0,73.0,Dense Transformer,128,Mistral Research License,1,Text+Vision+Code,2025-03
codestral,Codestral,Mistral AI,Codestral,2024-05-29,22.0,22.0,Dense Transformer,32,Mistral Non-Production,1,Code,2024-04
qwen2-72b,Qwen2 72B,Alibaba,Qwen2,2024-06-07,72.0,72.0,Dense Transformer,128,Apache 2.0,1,Text,2024-04
qwen2-5-7b,Qwen2.5 7B,Alibaba,Qwen2.5,2024-09-19,7.0,7.0,Dense Transformer,128,Apache 2.0,1,Text,2024-08
qwen2-5-72b,Qwen2.5 72B,Alibaba,Qwen2.5,2024-09-19,72.0,72.0,Dense Transformer,128,Apache 2.0,1,Text,2024-08
qwq-32b,QwQ 32B,Alibaba,QwQ,2025-03-06,32.0,32.0,Dense Transformer,128,Apache 2.0,1,Text,2024-12
qwen3-8b,Qwen3 8B,Alibaba,Qwen3,2025-04-29,8.0,8.0,Dense Transformer,128,Apache 2.0,1,Text,2025-02
qwen3-32b,Qwen3 32B,Alibaba,Qwen3,2025-04-29,32.0,32.0,Dense Transformer,128,Apache 2.0,1,Text,2025-02
qwen3-235b-a22b,Qwen3 235B A22B,Alibaba,Qwen3,2025-04-29,235.0,22.0,MoE Transformer,128,Apache 2.0,1,Text+Code,2025-02
qwen3-5-plus,Qwen3.5-plus,Alibaba,Qwen3.5,2025-09-20,300.0,30.0,MoE Transformer,256,Apache 2.0,1,Text+Vision+Code,2025-07
glm-4,GLM-4,Zhipu AI,GLM,2024-06-06,130.0,130.0,Dense Transformer,128,Proprietary,0,Text+Vision,2024-04
glm-4-7,GLM-4.7,Zhipu AI,GLM,2025-08-10,200.0,200.0,Dense Transformer,256,Apache 2.0,1,Text+Vision+Code,2025-06
glm-5,GLM-5,Zhipu AI,GLM,2025-12-15,350.0,350.0,Dense Transformer,256,Apache 2.0,1,Text+Vision+Code,2025-10
kimi-k2,Kimi K2,Moonshot,Kimi,2025-05-20,500.0,32.0,MoE Transformer,128,MIT,1,Text+Code,2025-03
kimi-k2-5,Kimi K2.5,Moonshot,Kimi,2025-10-05,1000.0,32.0,MoE Transformer,262,MIT,1,Text+Vision+Code,2025-08
minimax-m2,MiniMax M2,MiniMax,MiniMax,2025-06-10,456.0,46.0,MoE Transformer,1048,MIT,1,Text+Vision+Code,2025-04
minimax-m2-5,MiniMax M2.5,MiniMax,MiniMax,2025-11-01,500.0,50.0,MoE Transformer,1048,MIT,1,Text+Vision+Code,2025-09
step-2-16k,Step-2-16K,StepFun,Step,2024-09-24,150.0,150.0,Dense Transformer,128,Proprietary,0,Text+Vision,2024-07
step-3-5-flash,Step-3.5-Flash,StepFun,Step,2025-09-10,196.0,196.0,Dense Transformer,128,Apache 2.0,1,Text+Code,2025-07
grok-2,Grok-2,xAI,Grok,2024-08-13,,,Dense Transformer,128,Proprietary,0,Text+Vision,2024-06
grok-3,Grok-3,xAI,Grok,2025-02-17,,,Dense Transformer,128,Proprietary,0,Text+Vision+Code,2024-12
grok-3-mini,Grok-3 Mini,xAI,Grok,2025-02-17,,,Dense Transformer,128,Proprietary,0,Text+Code,2024-12
grok-3-5,Grok-3.5,xAI,Grok,2025-10-20,,,Dense Transformer,256,Proprietary,0,Text+Vision+Code,2025-08
command-r+,Command R+,Cohere,Command R,2024-04-04,104.0,104.0,Dense Transformer,128,CC-BY-NC-4.0,1,Text,2024-03
command-a,Command A,Cohere,Command,2025-03-13,111.0,111.0,Dense Transformer,256,CC-BY-NC-4.0,1,Text+Code,2025-01
nemotron-4-340b,Nemotron 4 340B,NVIDIA,Nemotron,2024-06-14,340.0,340.0,Dense Transformer,4,NVIDIA Open Model License,1,Text,2024-04
llama-3-1-nemotron-70b,Llama 3.1 Nemotron 70B,NVIDIA,Nemotron,2024-10-11,70.0,70.0,Dense Transformer,128,Llama 3.1 License,1,Text,2024-06
phi-4,Phi-4,Microsoft,Phi,2024-12-12,14.0,14.0,Dense Transformer,16,MIT,1,Text,2024-10
phi-4-mini,Phi-4-mini,Microsoft,Phi,2025-02-26,3.8,3.8,Dense Transformer,128,MIT,1,Text,2024-12
gemma-2-9b,Gemma 2 9B,Google,Gemma,2024-06-27,9.0,9.0,Dense Transformer,8,Gemma License,1,Text,2024-04
gemma-2-27b,Gemma 2 27B,Google,Gemma,2024-06-27,27.0,27.0,Dense Transformer,8,Gemma License,1,Text,2024-04
gemma-3-12b,Gemma 3 12B,Google,Gemma,2025-03-12,12.0,12.0,Dense Transformer,128,Gemma License,1,Text+Vision,2025-01
gemma-3-27b,Gemma 3 27B,Google,Gemma,2025-03-12,27.0,27.0,Dense Transformer,128,Gemma License,1,Text+Vision,2025-01
yi-large,Yi-Large,01.AI,Yi,2024-05-13,,,Dense Transformer,200,Proprietary,0,Text,2024-03
dbrx,DBRX,Databricks,DBRX,2024-03-27,132.0,36.0,MoE Transformer,32,Databricks Open License,1,Text,2024-01
jamba-1-5-large,Jamba 1.5 Large,AI21,Jamba,2024-08-22,398.0,94.0,MoE Mamba-Transformer,256,Jamba Open License,1,Text,2024-06
falcon-3-10b,Falcon 3 10B,TII,Falcon,2024-12-12,10.0,10.0,Dense Transformer,32,Apache 2.0,1,Text,2024-10
xiaomi-milm-2,Xiaomi MiLM 2,Xiaomi,MiLM,2025-07-20,150.0,150.0,Dense Transformer,128,Apache 2.0,1,Text+Vision,2025-05
internlm-3,InternLM 3,Shanghai AI Lab,InternLM,2025-04-10,100.0,100.0,Dense Transformer,128,Apache 2.0,1,Text+Vision+Code,2025-02
baichuan-4,Baichuan 4,Baichuan AI,Baichuan,2025-06-01,130.0,130.0,Dense Transformer,128,Proprietary,0,Text+Vision,2025-04
yi-lightning,Yi-Lightning,01.AI,Yi,2024-10-01,,,Dense Transformer,200,Proprietary,0,Text,2024-08
demo-model-gamma,Demo Model Gamma,Demo Org,Demo Family,2026-06-01,70.0,12.0,Transformer (MoE),512,Proprietary,0,Text+Vision,2026-01-01

